owner,cablesystem,region,SHAPE__Length,shortname,objectid,SHAPE__Area,status
,,East Coast,2195.25732934761,,636,118670.12702129,
,,East Coast,1921.85839115433,,637,77408.434342195,
,,East Coast,2041.04094558851,,638,112343.03124534,
,,East Coast,8160.43843554063,,639,747361.506643145,
,,East Coast,1647.96154931511,,640,91774.315177345,
,,East Coast,2827.68494099646,,641,169251.286614615,
,,East Coast,3552.36041454419,,642,285519.04769101,
,,East Coast,2050.80524651761,,643,114503.4486726,
,,East Coast,3538.33965431985,,644,231971.910113805,
,,East Coast,945.149569887363,,645,18245.66521849,
,,Gulf of America,14170.9146214834,,646,2467851.88052558,
,,Gulf of America,1974.8360914387,,647,190421.29004555,
,,Gulf of America,5395.30981186773,,648,594682.56826677,
,,Gulf of America,2476.87804264402,,649,125199.326528655,
,,Gulf of America,1014.70884267244,,650,43654.4815119,
,,Gulf of America,1944.74822948438,,651,73855.62470872,
,,Gulf of America,1894.53868414845,,652,86492.87454409,
,,Gulf of America,5173.28388807221,,653,1018645.88973175,
,,Gulf of America,1191.32086119172,,654,27972.86754049,
,,Gulf of America,1652.34692795264,,655,69688.29762462,
,,Great Lakes,760.568765373674,,656,10851.917394735,
,,Great Lakes,7523.48796442168,,657,443463.180457355,
,,Gulf of America,1248.18731487319,,658,90767.625906375,
,,Gulf of America,1565.71255191784,,659,78874.21078594,
,,Gulf of America,1764.77976082492,,660,82808.80580498,
,,Gulf of America,1449.83713265927,,661,88616.55303841,
,,Gulf of America,775.881601625189,,662,14552.00245355,
,,Gulf of America,2825.4311402648,,663,137108.08935703,
,,Gulf of America,1059.47558941457,,664,51013.74744954,
,,Gulf of America,1124.04311578696,,665,52451.565604285,
,,Gulf of America,9499.5714118674,,666,2532366.29985732,
,,Gulf of America,768.625722181042,,667,15804.35356116,
,,Gulf of America,780.954902758461,,668,21743.67944334,
,,Gulf of America,6036.78777013165,,669,1157910.4396453,
,,East Coast,3017.72775843537,,670,229272.46017374,
,,East Coast,10017.0278266752,,671,1896342.61708774,
,,East Coast,13944.3761770876,,672,2453831.29015949,
,,East Coast,1882.13087625192,,673,64030.841235875,
,,East Coast,2220.50860271338,,674,134780.11137231,
,,East Coast,74.5384001005435,,675,283.160528725,
,,East Coast,1335.41766952412,,676,64264.94363548,
,,East Coast,1741.19538346278,,677,109474.426513805,
,,East Coast,1387.45642054243,,678,66624.081749145,
,,East Coast,914.421670060058,,679,51021.70679238,
,,East Coast,11096.5355795352,,680,1368790.79485096,
,,East Coast,1989.02303992332,,681,109053.38472908,
,,Gulf of America,5994.59839923828,,682,970677.18236118,
,,Gulf of America,4845.22411610117,,683,404417.07514309,
,,Gulf of America,6774.19322976156,,684,653667.733186945,
,,Gulf of America,1534.25930703825,,685,126605.001886495,
,,Gulf of America,8691.24254625531,,686,844230.455693075,
,,Gulf of America,13135.891500428,,687,2311593.10911866,
,,Gulf of America,2353.92141011399,,688,180803.214763855,
,,Gulf of America,1844.97821435659,,689,148145.785223415,
,,Gulf of America,2593.84431221406,,690,125832.99729271,
,,Gulf of America,4185.26273294279,,691,385083.523963695,
,,Gulf of America,1822.98589734281,,692,140626.186969675,
,,Gulf of America,1473.697581719,,693,119924.540157375,
,,Gulf of America,1226.31931001642,,694,30513.637228275,
,,Gulf of America,5308.01522737781,,695,507257.27803527,
,,Gulf of America,1753.76484861869,,696,118482.686181225,
,,Gulf of America,1379.60048074054,,697,105767.875605095,
,,Gulf of America,2082.04604441799,,698,175143.985257245,
,,Gulf of America,760.509132614155,,699,15740.32318488,
,,East Coast,2876.91401266879,,700,199281.0963373,
,,East Coast,1981.98786465763,,701,92055.838257915,
,,East Coast,4181.69130872685,,702,517076.929024685,
,,East Coast,1332.57851973359,,703,64100.13555989,
,,East Coast,2518.41546392161,,704,272641.083363715,
,,East Coast,1381.47116462355,,705,52742.92071976,
,,East Coast,3425.22820040334,,706,402791.34611631,
,,East Coast,1210.89043774689,,707,63641.067151905,
,,East Coast,1872.3926813301,,708,139217.660793815,
,,East Coast,1816.19230167582,,709,48404.322343665,
,,East Coast,3113.2045429781,,710,351179.168681955,Abandoned
,,East Coast,2370.65575565121,,711,263052.91843313,
,,East Coast,219.504674552178,,712,1466.526491395,
,,East Coast,1257.15835785556,,713,56998.43323215,
,,Gulf of America,2425.71432306796,,714,115913.65537689,
Florida Power and Light,,Gulf of America,8361.49066307201,4 x 25 kV,715,1547945.81665645,In Service
,,Gulf of America,8163.30036991389,,716,1249386.15856201,
,,Gulf of America,5001.28843648163,,717,813586.414747455,
,,East Coast,24675.523141349,,718,2134703.43186738,
,,East Coast,3531.5311157316,,719,412212.822308185,
,,East Coast,2554.62121113602,,720,286889.83952837,
,,East Coast,3180.67424309052,,721,428935.45218801,
,,East Coast,1246.18231919657,,722,40635.73972002,
,,East Coast,1682.92824667616,,723,102394.664571645,
,,Gulf of America,2757.16432146454,,724,219796.34845232,
,,Gulf of America,841.863686439392,,725,17639.13021309,
,,Gulf of America,2009.49306961872,,726,221136.07959978,
,,Gulf of America,4260.13344993074,,727,754273.978884535,
,,Gulf of America,1056.02142706767,,728,51518.597849005,
,,Gulf of America,1344.18855581927,,729,76685.63056262,
,,Gulf of America,2395.34233092548,,730,325780.587698245,
,,East Coast,1778.63702621514,,731,112952.397484095,
,,East Coast,4355.01978001205,,732,371695.724179095,
,,East Coast,174.352904012157,,733,1492.28020472,
,,East Coast,2447.91086544077,,734,321840.01375466,
,,East Coast,11518.014810339,,735,2415817.59438385,
,,East Coast,2539.5541797728,,736,181832.927390095,
,,East Coast,1231.16513255668,,737,75585.0786064,
,,East Coast,878.853669522576,,738,35432.455380935,
,,East Coast,1472.82973781304,,739,130819.346822185,
,,East Coast,1329.55913110727,,740,106359.607599085,
,,East Coast,2868.40381269939,,741,167278.546281935,
,,East Coast,7611.46547560829,,742,1025064.90935933,
,,East Coast,1231.8210975021,,743,50063.63395006,
,,East Coast,1999.86716063173,,744,87012.7029999,
,,East Coast,3128.54441104083,,745,415950.189670075,
,,East Coast,1640.94299792958,,746,161125.007574345,
,,East Coast,898.497871577457,,747,30716.345894505,
,,East Coast,1495.06877938816,,748,36565.34330698,
,,East Coast,3066.74112607854,,749,469294.707376655,
,,East Coast,4616.22291666602,,750,764812.837369755,
,,East Coast,3459.5684745827,,751,337564.68407364,
,,East Coast,2801.88076651463,,752,102701.235773085,
,,East Coast,6683.4023062563,,753,263371.47978203,
,,East Coast,1731.42651287146,,754,64777.668019105,
,,East Coast,5276.22647490922,,755,939424.848212495,
,,Gulf of America,2474.43711402055,,756,135929.188832485,
,,Gulf of America,949.291961737267,,757,33721.00932285,
,,Gulf of America,1471.95784146273,,758,24661.131751935,
,,Gulf of America,826.326742088224,,759,9177.46063783,
,,Gulf of America,887.404103384553,,760,31170.97918732,
,,Gulf of America,916.397796997183,,761,36403.631289435,
,,East Coast,464.633324794615,,762,5693.192348975,
,,East Coast,2835.50363757063,,763,313941.040979115,
,,East Coast,1722.57983825303,,764,110222.449905075,
,,East Coast,13731.4620966165,,765,2369740.75236059,
,,East Coast,1586.37820108748,,766,93513.2937345,
,,East Coast,549.104130531772,,767,14709.48880808,
,,East Coast,1581.95711094637,,768,49180.279163255,
,,East Coast,987.059477378989,,769,31586.3061651,
,,East Coast,1893.98224176048,,770,147593.10138378,
,,East Coast,885.211717425867,,771,35835.623838135,
,,East Coast,1450.01201540593,,772,112526.91991852,
,,East Coast,5812.35830934939,,773,933710.07082752,
,,East Coast,2320.13804236103,,774,188370.060329545,
,,East Coast,2466.61491826843,,775,159205.780302525,
,,East Coast,1654.08740888687,,776,87036.46461196,
,,East Coast,1119.1800581653,,777,54753.27694296,
,,East Coast,2386.8464528339,,778,288757.892109825,
,,East Coast,495.720905388857,,779,10336.883861335,
,,East Coast,2583.12649548345,,780,98052.354645945,
,,East Coast,882.252147403221,,781,33145.075969025,
,,East Coast,2646.98443287908,,782,344611.62903634,
,,East Coast,7434.42982907586,,783,1250438.7603712,
,,East Coast,9602.95671062456,,784,1116983.4430629,
,,East Coast,1437.08325476489,,785,92055.689387125,
,,East Coast,4254.42356455187,,786,467564.666305505,
,,East Coast,920.476065519733,,787,27823.74696818,
,,East Coast,6999.47802343704,,788,844858.019350395,
,,Gulf of America,881.520740115873,,789,33878.23651018,
,,Gulf of America,2249.61472737848,,790,170183.88693079,
,,East Coast,1611.43342265638,,791,45701.94083008,
,,East Coast,1593.79698042652,,792,106314.93758002,
,,East Coast,353.858378997018,,793,4657.01355747,
,,East Coast,902.762515406913,,794,27381.0259192,
,,East Coast,1500.0670743351,,795,57023.27683762,
,,East Coast,1953.81492057202,,796,69815.23058841,
,,East Coast,873.609051954398,,797,15647.455575165,
,,East Coast,1271.04117739256,,798,51328.029042445,
,,East Coast,5616.76398316257,,799,1083188.08764015,
,,East Coast,2635.40893760132,,800,228065.907268695,
,,East Coast,5445.79671045764,,801,744908.899853905,
,,East Coast,1682.27165044819,,802,120867.940044985,
,,East Coast,9179.03002720879,,803,1535338.61023713,
,,East Coast,5229.00579144145,,804,538894.635535495,
,,East Coast,2781.12865395891,,805,152170.95710552,
,,East Coast,3218.16805046209,,806,337734.572323065,
,,East Coast,2597.20667905589,,807,295075.808318275,
,,East Coast,1879.86088814872,,808,89813.241726045,
,,East Coast,5129.01321788163,,809,803245.664845245,
,,East Coast,2286.27708181968,,810,236565.95966115,
,,East Coast,2813.75331164355,,811,231960.227941675,
,,East Coast,4446.99804097832,,812,553150.34127458,
,,East Coast,760.218763563367,,813,26242.94298414,
,,East Coast,3405.36877949371,,814,556524.715991495,
,,East Coast,2628.88004450803,,815,234705.618024745,
,,East Coast,6075.73878576463,,816,529607.960866325,
,,East Coast,2509.69784032576,,817,265544.963077215,
,,East Coast,2082.24826636197,,818,181202.47353475,
,,East Coast,2414.52151350688,,819,309410.08630901,
,,East Coast,8510.12272430995,,820,757217.082428815,
,,East Coast,1423.49322076187,,821,83785.235713115,
,,East Coast,4039.28764690478,,822,528428.4814582,
,,East Coast,7582.10013969546,,823,541336.54687443,
,,East Coast,1900.65121888158,,824,90106.711677845,
,,East Coast,1974.90320928935,,825,209184.40970044,
,,East Coast,3124.30071399146,,826,371886.67474546,
,,Gulf of America,917.738400857005,,827,28897.8970562,
,,Gulf of America,4184.61428258202,,828,484062.33872033,
,,Gulf of America,3547.36606725712,,829,615600.777049595,
,,Gulf of America,1315.47373885352,,830,92748.84532585,
,,Gulf of America,1402.40507403473,,831,103636.03993047,
,,Gulf of America,6237.01038640404,,832,1187866.14844192,
,,East Coast,84377.6069720174,,833,8939697.7571238,
,,East Coast,2442.41452545142,,834,123146.499193125,
,,East Coast,1024.93257404064,,835,39656.241359705,
,,East Coast,161.717574750959,,836,791.230506105,
,,East Coast,1698.78558928822,,837,74926.30374766,
,,East Coast,894.451706456837,,838,29456.79024622,
,,East Coast,1992.7853808585,,839,135267.457249245,
,,East Coast,1968.96125304173,,840,116132.42667801,
,,East Coast,3171.97443024676,,841,188828.39636615,
,,East Coast,2090.82481934874,,842,227632.633665015,
,,East Coast,1812.71800041606,,843,147565.680476865,
,Power Transmission Cable,East Coast,921.772057293798,,844,28642.241226955,
,,East Coast,1503.77449216801,,845,111828.114503335,
,,East Coast,2179.645084027,,846,161531.12638799,
,,East Coast,2920.37657150515,,847,392419.19037083,
,,East Coast,3657.73356480907,,848,185347.398416735,
,,East Coast,13452.5705812073,,849,2471052.24347387,
,,East Coast,1156.29861543425,,850,72174.777282575,
,,East Coast,5695.99273998946,,851,640430.58071808,
,,East Coast,1704.93776396725,,852,98639.03436184,
,,East Coast,10169.1281521468,,853,1643613.25703576,
,,East Coast,2222.73050408142,,854,75872.246663735,
,,East Coast,3963.2826523229,,855,767357.17381838,
,,East Coast,6558.56289913531,,856,706760.0697749,
,,East Coast,2748.83686155654,,857,398482.71682943,
,,East Coast,909.30328920673,,858,36667.642049235,
,,East Coast,1853.43973703015,,859,90393.42530155,
,,East Coast,2997.40664100635,,860,379648.76720658,
,,East Coast,3801.98479939987,,861,413117.534311985,
,,East Coast,1330.24142316979,,862,29243.06076383,
,,East Coast,3820.65811488288,,863,585582.84447429,
,,East Coast,3558.57508772905,,864,718084.14286634,
,,East Coast,900.884003076524,,865,31965.560984125,
,,East Coast,5708.41359605242,,866,455490.078314345,
,,East Coast,4992.41041526101,,867,447593.882784205,
,,East Coast,1867.06648337285,,868,127687.4219648,
,,East Coast,9643.18711640884,,869,1166247.38533496,
,,East Coast,3087.36412768263,,870,225472.757730325,
,,East Coast,2923.27830425578,,871,276137.358582995,
,,East Coast,1718.55191317277,,872,129580.60831204,
,,East Coast,1361.52764081302,,873,98097.69518848,
,,East Coast,22443.1530079529,,874,3314483.83721529,
,,East Coast,635.452899880119,,875,22505.36914679,
,,East Coast,602.379720073938,,876,20282.359269035,
,,East Coast,1207.30538751855,,877,25702.224652675,
,,East Coast,522.614577740098,,878,9062.62064844,
,,East Coast,1888.96610454754,,879,68414.06480235,
,,East Coast,5578.29716157468,,880,775083.656617725,
,,East Coast,3943.88240270663,,881,443222.975095665,
,,East Coast,1594.49508889673,,882,114373.5847532,
,,East Coast,1236.62086875478,,883,52810.99116844,
,,East Coast,9085.29727242513,,884,1316757.13364751,
,,East Coast,3041.19334527305,,885,529582.548152745,
,,East Coast,1929.40313976167,,886,67341.441646835,
,,East Coast,1389.96964392971,,887,55341.230754365,
,,East Coast,3857.93898514232,,888,271751.57002942,
,,East Coast,12683.8996045148,,889,809455.256226405,
,,East Coast,11538.0760117236,,890,1501946.29168858,
,,East Coast,1686.91822518829,,891,169243.494757575,
,,East Coast,1759.93963483303,,892,86236.917353375,
,,East Coast,923.891148099751,,893,35129.42596753,
,,East Coast,7714.99615209703,,894,1233103.89433388,
,,East Coast,1759.95296771725,,895,29919.648045155,
,,East Coast,1816.58111164179,,896,53966.197307525,
,,East Coast,239.867793093956,,897,2036.9136861,
,,East Coast,2214.77590185926,,898,263175.705003335,
,,East Coast,646.032886832677,,899,21635.134799325,
,,East Coast,1889.65145275435,,900,164483.58382223,
,,East Coast,4634.88793989492,,901,334819.02667916,
,,East Coast,1589.0007062659,,902,84541.13591672,
,,East Coast,748.693706917698,,903,31765.928509705,
,,East Coast,3012.76414047394,,904,260247.05380249,
,,East Coast,2773.66581869281,,905,249294.61288493,
,,East Coast,4032.89675019402,,906,364464.115303915,
,,East Coast,3181.06781094492,,907,350324.83717765,
,,East Coast,8671.7136157144,,908,1551910.16202343,
,,East Coast,2222.92034691246,,909,109566.85263375,
,,East Coast,5576.72909203316,,910,406250.171962005,
,,East Coast,604.477021506038,,911,18217.406591575,
,,East Coast,1527.16532202271,,912,61130.251936945,
,,East Coast,1700.34594151348,,913,54774.323857775,
,,East Coast,1202.92897678965,,914,79012.15504165,
,,East Coast,2962.04152783661,,915,87092.266362975,
,,East Coast,1767.11665691178,,916,46987.96029928,
,,East Coast,1064.68074520018,,917,51472.63900629,
,,East Coast,991.893948066732,,918,37333.251826105,
,,East Coast,136.903578051027,,919,1132.1766415,
,,East Coast,4638.81888175564,,920,343776.31816898,
,,East Coast,4208.51364420451,,921,533384.51288369,
,,East Coast,1311.3733959298,,922,104246.07433272,
,,East Coast,1006.07548019695,,923,26438.596485325,
,,East Coast,1454.11028406642,,924,31601.151435665,
,,East Coast,18801.8255537445,,925,3185540.71594448,
,,East Coast,666.101989635372,,926,20025.662320175,
,,East Coast,7657.17837970583,,927,655164.47535492,
,,East Coast,556.226864097512,,928,13350.29689046,
,,East Coast,3765.27453680287,,929,531723.1960145,
,,East Coast,1526.76902515806,,930,40878.41182738,
,,East Coast,1319.70117063444,,931,58687.43169518,
,,East Coast,1220.97410408355,,932,89491.854357545,
,,East Coast,2164.61494748538,,933,50995.741652885,
,,East Coast,7935.68451701324,,934,588340.63472995,
,,East Coast,900.934726309874,,935,34550.432464035,
,,East Coast,539.002750568931,,936,10966.409677345,
,,East Coast,708.351095105373,,937,9908.156405005,
,,East Coast,5270.06254336451,,938,368136.350393205,
,,East Coast,2818.30354445483,,939,128805.01955285,
,,East Coast,2951.46651970384,,940,238987.147344395,
,,East Coast,1828.35763302971,,941,143439.37459802,
,,East Coast,1539.99052708995,,942,80569.898627655,
,,East Coast,10805.1077106301,,943,1203719.32145117,
,,East Coast,2495.95691457875,,944,340536.816117295,
,Multiple Cables,East Coast,22288.7922622445,,945,17621617.5291106,
,,East Coast,30961.7899496618,,946,11664145.0460465,
,,East Coast,3197.83317441848,,947,224379.57687965,
,,East Coast,2321.01620726899,,948,128731.92647205,
,,East Coast,7283.82193133361,,949,658202.83304622,
,,East Coast,7995.06947330785,,950,517689.232219815,
,,East Coast,1299.83855308684,,951,97198.83905707,
,,East Coast,3266.58371263695,,952,173434.67247524,
,,East Coast,3824.93084386904,,953,302988.025487225,
,,East Coast,1551.17734115868,,954,134169.42756371,
,,East Coast,159.711539872247,,955,1028.52181069,
,,East Coast,2869.97920106627,,956,382495.132832945,
,,East Coast,2016.88312906262,,957,163133.7764852,
,,East Coast,3634.33902595322,,958,618241.327129865,
,,East Coast,3599.22045264157,,959,453483.089559675,
,,East Coast,1560.82136155433,,960,47868.989082175,
,,East Coast,2143.37755174832,,961,98072.669447815,
,,East Coast,1193.42725403476,,962,27391.66749323,
,,East Coast,2990.5197887203,,963,386006.45359805,
,,East Coast,798.081689094471,,964,21276.09478495,
,,East Coast,1303.09061116735,,965,57353.526007725,
,,East Coast,3287.65855695612,,966,431490.99849173,
,,East Coast,4170.74002889872,,967,238184.72070292,
,,East Coast,4327.79552138938,,968,387564.09943947,
,,East Coast,1385.55357668309,,969,38789.22919778,
,,East Coast,277.69058542155,,970,4305.82520264,
,,East Coast,3443.54064716918,,971,173609.278800305,
,,East Coast,23220.0105310616,,972,3602934.75556685,
,,East Coast,3162.86487661034,,973,137293.16846406,
,,East Coast,1093.17200900408,,974,58267.064255615,
,,East Coast,2004.87240857398,,975,131272.77933463,
,,East Coast,4392.22764546834,,976,552707.86806235,
,,East Coast,4883.95189625761,,977,339071.71566155,
,,East Coast,3141.99466040503,,978,360662.254563365,
,,Gulf of America,1683.86020469402,,979,67009.185926555,
,,Gulf of America,8354.58338184438,,980,850056.59602051,
,,Gulf of America,3593.02138092654,,981,357848.31647525,
,,Gulf of America,488.529851500817,,982,12606.87891041,
,,Gulf of America,2878.18680890828,,983,192875.92665324,
,,East Coast,2246.34552254911,,984,228962.98845229,
,,East Coast,1052.22013698633,,985,33158.394104955,
,,East Coast,923.397811069659,,986,20302.00733179,
,,East Coast,15946.7884575524,,987,3044537.9315738,
,,East Coast,550.650980100395,,988,16587.401392675,
,,East Coast,190.347466516835,,989,1361.42942472,
,,East Coast,114300.790881209,,990,136789131.237332,
,,East Coast,2054.80769296006,,991,131166.619107285,
,,East Coast,33270.1641733098,,992,10603329.0636471,
,,East Coast,5414.84605818828,,993,636032.385529785,
,,East Coast,4041.64490684956,,994,290256.54042512,
,,East Coast,2787.18557106577,,995,348018.981292795,
,,East Coast,13047.3088982167,,996,1167618.88872374,
,,East Coast,2552.02225361902,,997,289298.945069535,
,,East Coast,1927.85697295228,,998,180290.772637785,
,,East Coast,1618.75983857181,,999,129139.45401744,
,,East Coast,271.747576636808,,1000,2531.910837845,
,,East Coast,1289.8293799182,,1001,82556.53408784,
,,East Coast,5543.31724909134,,1002,821824.177701385,
,,East Coast,2592.71016788406,,1003,277713.70053577,
,,East Coast,1041.81683215502,,1004,30551.35908125,
,,East Coast,908.726921747725,,1005,22133.59302816,
,,East Coast,1625.00580241367,,1006,129750.109622975,
,,East Coast,5553.1576219714,,1007,809054.311974185,
,,East Coast,4368.32112622104,,1008,813815.0302105,
,,East Coast,2518.98550421496,,1009,319875.66513061,
,,East Coast,1516.96298058694,,1010,111538.33905037,
,,Gulf of America,6324.45348612918,,1011,664279.39223658,
,,Gulf of America,1002.96269063933,,1012,30370.798546735,
,,Gulf of America,2614.78707947668,,1013,164860.48844628,
,,Gulf of America,2651.51299316443,,1014,94877.039851755,
,,Gulf of America,1823.264439783,,1015,83996.993478285,
,,Gulf of America,2054.53736449859,,1016,156012.69841628,
,,Gulf of America,1596.13457064254,,1017,39306.927580625,
,,Gulf of America,2190.41012579245,,1018,73040.875030155,
,,Gulf of America,1704.30290594102,,1019,47952.956063705,
,,Gulf of America,828.777031414475,,1020,25316.20657292,
,,East Coast,829.551692583854,,1021,41856.392234985,
,,East Coast,6066.89791479444,,1022,567730.137092025,
,,East Coast,1333.63331059065,,1023,67554.15442649,
,,East Coast,5732.47098614025,,1024,292529.74355726,
,,East Coast,5860.13978406676,,1025,464147.33196475,
,,East Coast,1281.37236334633,,1026,47103.772819475,
,,East Coast,2545.07750977747,,1027,293283.30741438,
,Power Transmission Cable,East Coast,82.3761431047619,,1028,423.94916487,
,,East Coast,3021.93113951239,,1029,450445.12833863,
,,East Coast,2543.80640615561,,1030,213647.16122455,
,,East Coast,4547.54046869695,,1031,407675.09551999,
,,East Coast,105.316389754408,,1032,310.241161435,
,,East Coast,3001.52363679008,,1033,371120.24392345,
,,Gulf of America,2909.06864241047,,1034,160969.633328355,
,,Gulf of America,3800.02084184672,,1035,598378.86574232,
,,East Coast,826.333563311464,,1036,14773.21672077,
,,East Coast,2457.87796635943,,1037,282628.85482268,
,,East Coast,1736.14360817787,,1038,90863.384044625,
,,East Coast,2264.15861873996,,1039,241224.43979153,
,Telephone Cable,East Coast,4475.72034279625,,1040,327910.39741261,
,,Gulf of America,1719.32695937134,,1041,74586.24332276,
,,Gulf of America,29153.4295313976,,1042,4106808.70093945,
,,Gulf of America,2032.32820556326,,1043,182968.783223075,
,,Gulf of America,15010.3266504859,,1044,2543696.77193573,
,,Gulf of America,1870.94077337068,,1045,58803.90002681,
,,Gulf of America,917.99041633334,,1046,29023.686540025,
,,Gulf of America,2310.06832081862,,1047,165935.04165732,
,,Gulf of America,513.814813529608,,1048,16071.39280195,
,,Gulf of America,1985.31296826729,,1049,24466.58539824,
,,Gulf of America,202.097157809176,,1050,1380.64005507,
,,Gulf of America,12380.1164297187,,1051,1877362.72124849,
,,East Coast,3553.78266085879,,1052,245402.407289255,
,,East Coast,7518.27792688884,,1053,421186.839185805,
,,East Coast,1810.38918796887,,1054,113911.59163126,
,,East Coast,2165.64793998654,,1055,189123.11728923,
,,East Coast,23783.4788906398,,1056,2599252.3951508,
,,East Coast,2357.76795738177,,1057,123459.781340075,
,,East Coast,175.119101031535,,1058,889.3578865,
,,East Coast,4684.18247934514,,1059,666264.672115685,
,,Gulf of America,2545.6347355402,,1060,327419.33511782,
,,Gulf of America,7200.64669755533,,1061,1149312.1909294,
,,Gulf of America,6877.08400961653,,1062,684415.364526385,
,,Gulf of America,3968.47595266415,,1063,444184.059589665,
,,Gulf of America,4400.62527357743,,1064,855470.326771765,
,,Gulf of America,10375.7042155264,,1065,1626805.34941954,
,,Gulf of America,4562.49627235101,,1066,481513.66990167,
,,Gulf of America,1666.34108286078,,1067,113229.927531225,
,,Gulf of America,2499.15662853333,,1068,173420.81404328,
,,Gulf of America,684.090238183701,,1069,10219.91523681,
,,East Coast,4566.63340853315,,1070,412135.28646023,
,,East Coast,18463.5600328686,,1071,2702578.75231915,
,,East Coast,2007.28781440655,,1072,119270.69340253,
,,East Coast,879.190365994067,,1073,45572.27363641,
,,East Coast,2850.30468547482,,1074,364204.132130615,
,,East Coast,1533.55426784721,,1075,93433.34501512,
,,Gulf of America,822.689338988601,,1076,17697.90077034,
,,Gulf of America,1178.50627391087,,1077,53005.551432615,
,,Gulf of America,1234.51249230891,,1078,69227.807594845,
,,Gulf of America,6497.62538036523,,1079,508129.588589315,
,,Gulf of America,3153.61935196183,,1080,159522.45273925,
,,Gulf of America,2365.09651928009,,1081,41017.903812585,
,,Gulf of America,2839.23857832971,,1082,205330.721708175,
,,East Coast,330.412618021265,,1083,3420.39058481,
,,East Coast,47529.7731167656,,1084,9185163.15320324,
,,East Coast,34960.2764099333,,1085,11110432.8351156,
,,East Coast,2273.3398327229,,1086,40806.014559165,
,,East Coast,1488.12076787971,,1087,94109.376925885,
,,East Coast,2148.20509900949,,1088,83258.085746895,
,,East Coast,4321.37086303545,,1089,480132.699029135,
,,East Coast,7301.89747999328,,1090,578078.00410321,
,,East Coast,2061.62298691453,,1091,200712.314180465,
,,West Coast,4611.5754009944,,1092,709303.55617927,
,,West Coast,1671.67579050478,,1093,98320.502183395,
,,West Coast,2710.25314545176,,1094,96811.432715375,
,,West Coast,1757.6014218217,,1095,128726.138749425,
,,West Coast,1365.15277601265,,1096,88591.397386905,
,,West Coast,19049.4863377814,,1097,3542811.27266251,
,,West Coast,841.170916576108,,1098,14827.77475635,
,,East Coast,1399.87943829715,,1099,30374.721740795,
,,East Coast,2790.09905425198,,1100,295150.901504685,
,,East Coast,5514.21952108525,,1101,689654.129606085,
,,East Coast,276.006272609211,,1102,1236.776597945,
,,East Coast,2297.95499806914,,1103,239334.488132445,
,,East Coast,1583.92089221556,,1104,75016.344984045,
,,East Coast,344.543214095613,,1105,3439.59524977,
,,East Coast,1198.09297878899,,1106,29792.146749755,
,,East Coast,1960.58114600915,,1107,190262.239610335,
,,Gulf of America,1175.87608060266,,1108,44475.807939785,
,,Gulf of America,1522.27659969349,,1109,72972.364417795,
,,Gulf of America,1730.30489695507,,1110,21814.40188836,
,,Gulf of America,2125.61622886372,,1111,65493.63586628,
,,Gulf of America,74.3249683992257,,1112,333.20445026,
,,Gulf of America,1386.01674078786,,1113,102062.055829205,
,,Gulf of America,272.64884719707,,1114,1784.190011595,
,,Gulf of America,78.0250853955913,,1115,317.48995528,
,,Gulf of America,1620.71227313298,,1116,75133.525914065,
,,Gulf of America,1436.62311289661,,1117,57087.960250315,
,,Gulf of America,1294.84464665133,,1118,73562.08296626,
,,Gulf of America,1589.13003853857,,1119,100560.930262245,
,,East Coast,32434.7923331109,,1120,3818144.39523954,
,,East Coast,820.620757297482,,1121,15729.060707075,
,,East Coast,1290.0722454303,,1122,88164.725585365,
,,East Coast,3022.25483734596,,1123,92137.81452881,
,,East Coast,845.795074565193,,1124,17391.66684557,
,,East Coast,643.615042324433,,1125,14344.22874718,
,,East Coast,1624.19345806446,,1126,46339.6149628,
,,East Coast,1916.85073531037,,1127,160925.78072973,
,,West Coast,4011.15526032096,,1128,445892.22300726,
,,West Coast,5117.81730911682,,1129,761373.91567293,
,,West Coast,481.885827547129,,1130,14374.013068135,
,,West Coast,1846.62276488373,,1131,79947.842207435,
,<Null>,West Coast,7183.94854413159,,1132,2078300.10140269,
,,West Coast,6954.56601005784,,1133,1097656.5599794,
,,East Coast,2181.07035263033,,1134,145900.361354235,
,,East Coast,2435.53847574593,,1135,197937.349952065,
,,East Coast,2065.04270461505,,1136,232674.152853495,
,,East Coast,3046.80651435778,,1137,368244.40062833,
,,East Coast,1641.70407035902,,1138,145403.745415305,
,,East Coast,1952.12369492739,,1139,193358.246015815,
,,East Coast,1481.75318713464,,1140,129343.026128335,
,,East Coast,4524.46881012078,,1141,292319.56415064,
,,East Coast,3065.27296131466,,1142,420847.16425046,
,,Gulf of America,6596.21303193844,,1143,428088.858762705,
,,Gulf of America,198.895482009055,,1144,1956.536959775,
,,Gulf of America,1083.49350776345,,1145,67878.63062203,
,,Gulf of America,192.552005750113,,1146,1898.463280565,
,,Gulf of America,3098.08240619871,,1147,260455.701313945,
,,Gulf of America,6879.30902879187,,1148,1123329.91553576,
,,Gulf of America,4484.58499092558,,1149,547009.90120998,
,,Gulf of America,850.369450678656,,1150,30481.05161641,
,,Gulf of America,7071.14345417939,,1151,595014.658543905,
,,East Coast,1537.95590286004,,1152,84739.526979095,
,,East Coast,1257.03921532472,,1153,23638.12924611,
,,East Coast,3242.77097292191,,1154,236809.22086284,
,,East Coast,2540.85418622189,,1155,82496.624363535,
